"year","price_in_euro","mileage_in_km","price_category"
2012,10299,135000,1
2012,12999,18098,1
2013,10950,113500,1
2013,11899,84000,1
2013,12950,78497,1
2013,10990,66000,1
2014,13490,76000,1
2014,10950,136000,1
2014,10950,79000,1
2014,10900,51500,1
2015,12950,49000,1
2015,10390,119960,1
2015,10990,77600,1
2015,11285,70000,1
2015,12785,53000,1
2015,11485,56000,1
2015,14630,74688,1
2015,11580,64970,1
2015,10980,90816,1
2015,11850,89000,1
2015,16800,117300,1
2015,37200,164000,3
2015,11000,159000,1
2015,14900,134800,1
2016,11700,63400,1
2016,14000,128000,1
2016,12800,73300,1
2016,13890,101000,1
2016,18000,60000,1
2016,10500,194500,1
2016,12990,128150,1
2016,14499,59999,1
2016,17500,142950,1
2016,10300,163000,1
2016,10950,157000,1
2016,20990,148000,2
2016,15450,195000,1
2016,12890,68000,1
2016,12890,77000,1
2016,17900,183900,1
2016,13850,35400,1
2016,14990,24000,1
2016,11950,136850,1
2016,10500,183000,1
2016,10800,149400,1
2016,10490,129380,1
2016,14500,93338,1
2016,13990,133498,1
2016,12900,130505,1
2017,13395,68000,1
2017,11799,129950,1
2017,11911,149996,1
2017,19450,118850,1
2017,13999,111016,1
2017,12900,133000,1
2017,16990,53500,1
2017,12990,126545,1
2017,14900,102000,1
2017,11550,132600,1
2017,11900,155000,1
2017,14900,49300,1
2017,11980,167073,1
2017,18999,143000,1
2017,12900,129511,1
2017,12899,130000,1
2017,10990,159734,1
2017,14390,64000,1
2017,17580,84645,1
2017,12499,97000,1
2017,14200,101991,1
2017,13950,77700,1
2017,15998,80000,1
2018,14480,92174,1
2018,17490,95000,1
2018,16999,144000,1
2018,10950,220000,1
2018,21490,33129,2
2018,19999,100000,1
2018,12750,168340,1
2018,12980,142879,1
2018,11890,227770,1
2018,10900,207900,1
2018,10750,183000,1
2018,14999,130000,1
2018,18490,67539,1
2018,15490,75095,1
2018,15350,81769,1
2018,19480,164513,1
2018,28750,118500,2
2018,15490,187200,1
2018,29880,79507,2
2018,13700,146000,1
2018,16570,67029,1
2018,24610,63670,2
2018,21999,194586,2
2018,14999,101900,1
2018,19600,106500,1
2018,17440,49954,1
2018,11999,153944,1
2018,14450,97250,1
2018,14950,62000,1
2018,11990,133178,1
2018,10790,189140,1
2018,12980,160053,1
2018,17380,82000,1
2018,17499,77000,1
2018,15900,84000,1
2018,12880,106510,1
2018,12899,129000,1
2018,13900,131000,1
2018,12990,82000,1
2018,13890,85000,1
2018,14590,59260,1
2018,15940,93730,1
2018,11990,132723,1
2018,13990,109522,1
2018,10380,139422,1
2018,17990,77000,1
2018,19900,98500,1
2018,15900,134500,1
2018,11300,178000,1
2018,11290,148736,1
2018,20990,28524,2
2018,13995,133000,1
2018,17399,49800,1
2018,13099,114946,1
2018,14799,104502,1
2018,13490,95791,1
2018,12900,146000,1
2018,21980,42135,2
2018,16990,78955,1
2018,16750,88900,1
2019,19690,97919,1
2019,16111,77000,1
2019,14199,107573,1
2019,16750,104627,1
2019,13995,118200,1
2019,25950,101622,2
2019,15980,89966,1
2019,19990,60000,1
2019,14985,138000,1
2019,12830,163000,1
2019,15490,68652,1
2019,18980,95460,1
2019,17750,115939,1
2019,28990,88517,2
2019,19990,72838,1
2019,18550,61126,1
2019,12699,120980,1
2019,21850,91500,2
2019,12750,185000,1
2019,14900,127000,1
2019,21500,47000,2
2019,21850,31550,2
2019,19990,59500,1
2019,17950,86325,1
2019,17450,98800,1
2019,19950,199988,1
2019,21730,168366,2
2019,16890,85000,1
2019,19900,77000,1
2019,12500,170355,1
2019,18490,74754,1
2019,20600,58300,2
2019,17950,128400,1
2019,13480,114439,1
2019,26790,41466,2
2019,18500,85000,1
2019,18550,92450,1
2019,19600,97203,1
2019,21999,76879,2
2019,21955,49670,2
2019,19900,99000,1
2019,17990,75353,1
2019,24599,58000,2
2019,18985,45400,1
2019,22370,57000,2
2019,20923,62800,2
2019,18900,115000,1
2019,18987,112259,1
2019,15990,116000,1
2019,14390,115850,1
2019,14990,118000,1
2019,18980,47000,1
2019,20990,66059,2
2019,15880,112143,1
2019,10949,139000,1
2019,19860,42866,1
2019,21175,56399,2
2019,21040,44199,2
2019,21640,44610,2
2019,21949,116000,2
2019,11890,162212,1
2019,20700,76782,2
2019,20640,44380,2
2019,12899,164515,1
2019,17884,69000,1
2019,16480,79000,1
2019,15885,93050,1
2019,15450,99800,1
2019,21450,89968,2
2019,13599,151407,1
2019,14990,119914,1
2019,15700,89301,1
2019,14990,85366,1
2019,20490,70630,2
2019,11870,205161,1
2019,18950,80000,1
2019,14250,128000,1
2020,16335,78699,1
2020,19750,70099,1
2020,19400,66500,1
2020,22799,20500,2
2020,21990,34648,2
2020,16990,85000,1
2020,19550,36423,1
2020,16500,93127,1
2020,16500,74312,1
2020,16500,74751,1
2020,21990,32290,2
2020,29900,16400,2
2020,15859,74542,1
2020,15687,66346,1
2020,21700,38664,2
2020,14989,145000,1
2020,29990,18900,2
2020,15645,74538,1
2020,15645,74538,1
2020,20150,30290,2
2020,16497,65604,1
2020,17790,86050,1
2020,13880,95800,1
2020,17153,55246,1
2020,15480,76369,1
2020,22190,32290,2
2020,21690,30000,2
2020,23222,10000,2
2020,25000,70000,2
2020,22750,23000,2
2020,19500,62000,1
2020,22490,59000,2
2020,22940,22960,2
2020,23490,22774,2
2020,22740,22960,2
2020,15950,120400,1
2020,21790,26400,2
2020,16600,119400,1
2020,23990,40156,2
2020,21990,39000,2
2020,21899,37000,2
2020,19550,38095,1
2020,22950,68050,2
2020,18980,85772,1
2020,23690,22774,2
2020,29280,37347,2
2020,27980,39800,2
2020,21980,41089,2
2020,20749,62750,2
2020,24890,3860,2
2020,24800,12073,2
2020,19300,39850,1
2020,17990,50850,1
2020,11890,152190,1
2020,25990,47500,2
2020,20580,74666,2
2020,20580,60682,2
2020,20200,49800,2
2020,19290,58158,1
2020,22990,35726,2
2020,17949,31100,1
2020,20150,30926,2
2020,20990,72057,2
2020,22788,26880,2
2020,21790,18500,2
2020,23840,72900,2
2020,18860,103370,1
2020,26900,49000,2
2020,13880,164100,1
2020,17450,88000,1
2020,18900,58900,1
2020,12700,46800,1
2020,17480,69437,1
2020,15790,126786,1
2020,20290,63700,2
2020,21900,55000,2
2020,16890,100000,1
2020,20970,47471,2
2020,21649,59750,2
2020,21480,75682,2
2020,23890,31900,2
2021,24980,54555,2
2021,28900,27000,2
2021,17880,74100,1
2021,16430,108295,1
2021,22999,34000,2
2021,16999,103800,1
2021,21980,72856,2
2021,25400,32200,2
2021,24950,36450,2
2021,18800,95325,1
2021,17490,63504,1
2021,25950,44210,2
2021,19790,93500,1
2021,24900,23500,2
2021,13979,179000,1
2021,13979,180000,1
2021,23500,39900,2
2023,34980,3000,3
2023,34980,3000,3
2023,31375,7500,3
